name,due,credited,outstanding,overpaid,status
Ali Raza,2500.0,2500.0,0.0,0.0,Paid in full
Sana Tariq,2500.0,2500.0,0.0,0.0,Paid in full
Ahsan Malik,2500.0,2500.0,0.0,0.0,Paid in full
Bilal Ahmed,2500.0,2500.0,0.0,0.0,Paid in full
Fatima Noor,2500.0,2500.0,0.0,0.0,Paid in full
Hassan Sheikh,2500.0,2500.0,0.0,0.0,Paid in full
Zainab Qureshi,2500.0,2500.0,0.0,0.0,Paid in full
Umer Farooq,2500.0,2500.0,0.0,0.0,Paid in full
Mahnoor Iqbal,2500.0,1500.0,1000.0,0,Partial
Danish Khan,2500.0,2500.0,0.0,0.0,Paid in full
Ayesha Siddiqui,2500.0,2500.0,0.0,0.0,Paid in full
Faisal Mehmood,2500.0,0.0,2500.0,0,Missing
Rabia Chaudhry,2500.0,2500.0,0.0,0.0,Paid in full
Osman Javed,2500.0,2500.0,0.0,0.0,Paid in full
Nida Aslam,2500.0,2500.0,0.0,0.0,Paid in full
Kamran Latif,2500.0,2500.0,0.0,0.0,Paid in full
Sadia Rehman,2500.0,2500.0,0.0,0.0,Paid in full
Junaid Aziz,2500.0,2500.0,0.0,0.0,Paid in full
